タイトル,五十音,サークル名,発行者,発行年,ジャンル作品,ジャンル癖,サイズ
ふたなりオナニズム,こ,蒟蒻鍋,magifuro蒟蒻,2020/11/3,オリジナル,ふたなり,B5
ふたなりちゃんすぐイく,こ,蒟蒻鍋,magifuro蒟蒻,2021/11/21,オリジナル,ふたなり,B5
ふたなり娘はスッキリしたい,こ,蒟蒻鍋,magifuro蒟蒻,2022/11/3,オリジナル,ふたなり,B5
ふたなりちんちんの陳情,こ,蒟蒻鍋,magifuro蒟蒻,2023/5/4,オリジナル,ふたなり,B5
なかなかイけないふたなり娘,こ,蒟蒻鍋,magifuro蒟蒻,2023/8/13,オリジナル,ふたなり,B5
ふたなり娘と男の娘がイチャラブする話,こ,蒟蒻鍋,magifuro蒟蒻,2023/10/9,オリジナル,ふたなり,B5
ふたなり娘はいつもとちがう,こ,蒟蒻鍋,magifuro蒟蒻,2023/12/31,オリジナル,ふたなり,B5
ケダモノフレンズサプライズ,さ,SERVICE HEAVEN,ハヤシ,2017/8/17,けものフレンズ,-,B5
山郷ハラスメント,さ,ザ・バナナピストルズ,山吉ファン太,2018/8/11,ガールズアンドパンツァー,-,B5
山郷エンゲージ,さ,ザ・バナナピストルズ,山吉ファン太,2019/12/28,ガールズアンドパンツァー,-,B5
Project Sicorpio,さ,サークルQUDA,Qudamono,2017/4/30,オリジナル,ふたなり,B5
生えも2,さ,サークルとこやま,とこやまけいた,2019/12/28,プリチャン,-,B5
秘書艦最上くんの場合,さ,サシミノイワ,しでん,2017/12/31,艦これ,もがみん,B5
Once and again!!,さ,サヨナラホーネット,ヨシラギ,2017/12/29,FGO,ふたなり,B5
OJY1DVI2,さ,サヨナラホーネット,ヨシラギ,2018/12/31,FGO,-,B5
徐福ちゃんなんかで卒業したくないやい!,さ,サルパッチョ,わいら,2023/8/13,FGO,-,B5
メリュ子はぐいぐい来るが交尾がド下手。,さ,サルパッチョ,わいら,2023/12/31,FGO,-,B5
ふたなり化及び性欲増強アーツ 経過観察記録 術師編,さ,さんどるまん,みりちく,2023/3/12,アークナイツ,ふたなり,A5
なこXなこ,し,C.R's NEST,しーあーる,2018/8/12,サムライスピリッツ,ふたなり,B5
